f0:25:72:70:9e:76,attwifi,-72,61,  TILE 0, ACC (xy) -0.33050537,1.050766
f0:25:72:7d:71:44,Purdue Guest Network,-78,48,  TILE 0, ACC (xy) -0.33050537,1.050766
f0:25:72:7d:71:0d,eduroam,-77,50,  TILE 0, ACC (xy) -0.33050537,1.050766
f0:25:72:7d:71:09,attwifi,-77,50,  TILE 0, ACC (xy) -0.33050537,1.050766
f0:25:72:7d:8b:34,Purdue Guest Network,-79,46,  TILE 0, ACC (xy) -0.33050537,1.050766
f0:25:72:7d:8b:3b,Purdue Guest Network,-80,44,  TILE 0, ACC (xy) -0.33050537,1.050766
f0:25:72:7d:71:04,Purdue Guest Network,-79,46,  TILE 0, ACC (xy) -0.33050537,1.050766
f0:25:72:7d:8b:32,eduroam,-80,44,  TILE 0, ACC (xy) -0.33050537,1.050766
f0:25:72:70:a5:62,eduroam,-82,39,  TILE 0, ACC (xy) -0.33050537,1.050766
f0:25:72:70:a5:64,Purdue Guest Network,-82,39,  TILE 0, ACC (xy) -0.33050537,1.050766

--------------------
f0:25:72:7d:6f:6f,PAL3.0,-56,96,  TILE 0, ACC (xy) -0.35906982,1.0102997
f0:25:72:7d:6f:6d,eduroam,-56,96,  TILE 0, ACC (xy) -0.35906982,1.0102997
f0:25:72:70:9e:7f,PAL3.0,-68,70,  TILE 0, ACC (xy) -0.35906982,1.0102997
f0:25:72:70:9e:7d,eduroam,-68,70,  TILE 0, ACC (xy) -0.35906982,1.0102997
f0:25:72:7d:71:4d,eduroam,-72,61,  TILE 0, ACC (xy) -0.35906982,1.0102997
f0:25:72:7d:71:4f,PAL3.0,-73,59,  TILE 0, ACC (xy) -0.35906982,1.0102997
f0:25:72:7d:71:0f,PAL3.0,-77,50,  TILE 0, ACC (xy) -0.35906982,1.0102997
