---------------------
========== [FLAGGED] =============
F0-25-72-7D-8A-C4 = -63
F0-25-72-7D-8A-C6 = -61
F0-25-72-7D-8B-32 = -57
F0-25-72-7D-8B-34 = -53
F0-25-72-7D-8B-36 = -57
F0-25-72-7D-EB-82 = -77
F0-25-72-7D-EB-86 = -75
F0-25-72-7D-FC-50 = -75
---------------------
00-25-9C-52-91-1D = -67
56-5A-04-2F-2C-A1 = -69
6C-B0-CE-ED-2B-BB = -41
B4-18-D1-E0-33-DE = -67
F0-25-72-70-A5-62 = -67
F0-25-72-70-A5-64 = -67
F0-25-72-70-B6-72 = -67
F0-25-72-70-B6-76 = -69
F0-25-72-7D-19-F0 = -49
F0-25-72-7D-19-F2 = -49
F0-25-72-7D-19-F4 = -51
F0-25-72-7D-19-F6 = -47
F0-25-72-7D-7C-A4 = -69
F0-25-72-7D-7C-A6 = -71
F0-25-72-7D-80-D0 = -75
F0-25-72-7D-80-D2 = -75
F0-25-72-7D-80-D4 = -75
F0-25-72-7D-80-D6 = -75
F0-25-72-7D-88-70 = -49
F0-25-72-7D-88-72 = -47
F0-25-72-7D-88-74 = -49
F0-25-72-7D-88-76 = -49
F0-25-72-7D-8A-C0 = -61
F0-25-72-7D-8A-C2 = -61
F0-25-72-7D-8A-C4 = -47
F0-25-72-7D-8A-C6 = -47
F0-25-72-7D-FC-50 = -61
F0-25-72-7D-FC-52 = -61
F0-25-72-7D-FC-56 = -61
---------------------
00-22-75-43-1F-68 = -71
00-25-9C-52-91-1D = -69
02-11-87-A5-5A-72 = -57
56-5A-04-2F-2C-A1 = -69
6C-B0-CE-ED-2B-BB = -47
B4-18-D1-E0-33-DE = -63
F0-25-72-70-A5-60 = -67
F0-25-72-70-A5-62 = -65
F0-25-72-70-A5-64 = -67
F0-25-72-70-B6-74 = -77
F0-25-72-7D-19-F0 = -49
F0-25-72-7D-19-F4 = -47
F0-25-72-7D-4F-30 = -67
F0-25-72-7D-4F-34 = -67
F0-25-72-7D-7C-A4 = -69
F0-25-72-7D-7C-A6 = -73
F0-25-72-7D-80-D0 = -75
F0-25-72-7D-80-D2 = -75
F0-25-72-7D-80-D4 = -75
F0-25-72-7D-80-D6 = -77
F0-25-72-7D-88-70 = -49
F0-25-72-7D-88-72 = -49
F0-25-72-7D-88-74 = -51
F0-25-72-7D-88-76 = -49
F0-25-72-7D-8A-C4 = -53
F0-25-72-7D-8A-C6 = -53
F0-25-72-7D-FC-50 = -61
F0-25-72-7D-FC-52 = -63
F0-25-72-7D-FC-54 = -61
F0-25-72-7D-FC-56 = -61
---------------------
========== [FLAGGED] =============
00-22-75-43-1F-68 = -71
00-22-75-43-25-9C = -79
00-25-9C-52-91-1D = -71
02-11-87-A5-5A-72 = -63
56-5A-04-2F-2C-A1 = -73
6C-B0-CE-ED-2B-BB = -41
B4-18-D1-E0-33-DE = -63
F0-25-72-70-A5-60 = -73
F0-25-72-70-A5-64 = -77
